,Comment,id,date,Pos,Neg,Neu
28,"Daily drive is the current X3 M40i. It’s a great car. All I need, fast enough and big enough. (Used to drive a 1st gen X6 4.0d) Who really needs an X3M? Only issue is the exhausts in all European versions have an exhaust filter, so no pops and crackles. You also lose a bit of rear luggage space if you spec the spare wheel. I’d love an M badge on my front grille though.","
 @GregorBlacksmith
 ",1 year ago (edited),0.101,0.116,0.782
29,"I wanted one of these newer X3s and enjoy driving them but similar to you guys, my wife couldn’t get comfortable in the seats over a 10 day rental on PEI.","
 @monschein88
 ",1 year ago,0.195,0.0,0.805
30,"I've had mine for 8 months. Love the car. It's very quick, looks good, handles great, sounds great, infotainment is snappy, and it and has physical buttons for everything. And it fits a car seat and my family comfortably. What else could you ask for?","
 @puyopuyodreamin8805
 ",1 day ago,0.326,0.0,0.674
31,19 badges isn't enough. Limp test 4 the win! I think they nailed it with this one. Thank you gents.,"
 @adamellis9731
 ",1 year ago,0.292,0.0,0.708
32,"Really want this size BMW, but the luxury features of the X5 (massage seats, merino leather, electric adjustable steering wheel) and availability of PHEV are making me consider the X5. I know that the X5 is getting a mid cycle refresh for 2023, but any news of any of the above features making it into the 2023 X3?","
 @meyakoisaiah
 ",1 year ago,0.023,0.0,0.977
33,That was the best 10 seconds of Yuri. 6:30-6:40. I can’t stop laughing.,"
 @shivvashishthabhargava4600
 ",1 year ago,0.398,0.118,0.484
34,"Halo sword taillights look amazingggg! The B58 can hit 490 HP with an Ethanol blend! Just wow. Superb ZF 8 Speed as always, beautiful wheels+calipers! Sport Contact 6s or Pilot Sport 4s's ! This car is a real package! <3 BMW <3","
 @stephenandirenel9786
 ",1 year ago,0.356,0.0,0.644
35,"I got one in the same colour in my garage.  Just love the power, sound and how it handles!","
 @Veyronp87
 ",1 year ago,0.209,0.0,0.791
36,To me this is the best car BMW makes right now. Its so well rounded and accomplishes a lot of different tasks,"
 @SL0Z07
 ",1 year ago,0.349,0.0,0.651
37,"Proud owner of a 22 x3 m40i. Such a great all around daily and very quick for its weight. Can’t wait to tune it, goals are 500-550 whp","
 @gthulasi11
 ",1 year ago,0.231,0.0,0.769
38,"I usually enjoy your videos but lately I think TSP is just talking about the options, infotainment, design which I do like but forget about the driving experience and how the car feels. Hope we can get back to that","
 @aneebaba06
 ",1 year ago,0.207,0.053,0.741
39,Was looking forward to the opinion on the rear taillights. I am satisfied and pleased.,"
 @Nitrium
 ",1 year ago,0.322,0.0,0.678
40,"Interesting the call out of the seat comfort. I had the same problem with my pre-LCI X3 m40i. Never got 100% comfortable on them, dunno why.","
 @xorbitman
 ",1 year ago,0.165,0.171,0.665
41,"For a Canadian car review, while the whole country is freezing cold except for parts of BC, you guys must be testing this somewhere other than Ontario...the t--shirts are a dead giveaway. LOL! Great review. Just one question though; Did you guys test drive a regular X3 and if so how did you find the ride? Is it much firmer than a regular X3? I'm not a fan of performance SUV's because if you want a sports vehicle my advice would be to get a real sports car. SUV's are for hauling people and stuff while sports cars are quite the opposite. I have a sports car and I can tell you that my car has excellent cup holders and proper space for my cellphone. Fun and informative with excellent production quality as usual! Blond hair does suit you....","
 @matar0
 ",1 year ago (edited),0.139,0.052,0.81
42,A little tip for upcoming BMW videos: You can get stillstanding „levitating“ center logo caps which you can easily switch out. I think the rolling shots and pictures of the wheels would be pretty cool with an upright logo.,"
 @Hardcaslte
 ",1 year ago,0.189,0.0,0.811
43,Omg please make the limp test a permanent thing.  Watching Yuri get rag dolled around the front seat is hilarious looking.,"
 @hardiksnair735
 ",1 year ago,0.217,0.0,0.783
44,500 kW of torque is insane...,"
 @RellupNorth
 ",1 year ago,0.0,0.0,1.0
45,I prefer pre-facelift but a beast in any config,"
 @makatron
 ",1 year ago,0.0,0.0,1.0
46,Those price transitions with poles were tight,"
 @mikeydbryant
 ",1 year ago,0.0,0.0,1.0
47,"I own this vehicle & love the way it performs, it is a lot of fun to drive. My only complaint is, the seats aren't comfortable, especially on long road trips.","
 @tedpark5146
 ",1 year ago,0.206,0.135,0.659
48,"We got ours in October this year and we are in love! Told my wife it's a ""family suv"" ;)","
 @Greatone999
 ",1 year ago,0.273,0.0,0.727
49,"Had mine for about 3 months……. Luv it 
Great review ","
 @b.sh.1941
 ",1 year ago,0.339,0.0,0.661
50,"Not a fan of the rear light graphics. The rest is pretty good. If I were looking for an SUV.....yeah, I might consider. As a B58 owner I'm of course a fan of the engine.","
 @glorentzen0751
 ",1 year ago,0.169,0.109,0.722
51,Yuri's editing gets better ever video,"
 @Gamblor24
 ",1 year ago,0.367,0.0,0.633
52,"OMG guys, the Yuri gone limp part has to be a new segment on fast cars please, had me cracking up.","
 @jackboxer9958
 ",1 year ago,0.108,0.0,0.892
53,"Like many, I hotly anticipated the gv70 3.5 but can’t see how you would pick that over the x3 m40i. Better looks and aesthetics in the gv70, ok maybe. Better warranty vs the BMW?  Yes almost certainly. With price nearly the same here in Buffalo, NY, sans any rebates, I’d have to go with the BMW but I’m not happy about it","
 @chuloyo650
 ",1 year ago,0.241,0.052,0.706
54,"I will get this suv one day even if it’s a couple years from now, it will still look good.","
 @kgothatsotlhabadira6290
 ",1 year ago,0.146,0.0,0.854
55,I work close to the BMW plant in South Africa and these cars look amazing and it was so weird seeing LHD models on their way to the storage facility.,"
 @damilolaakanni
 ",1 year ago,0.115,0.068,0.817
