,Comment,id,date,Pos,Neg,Neu
34,"Your skill as a presenter who has driven an ev is showing enthusiasm at reaching 60 slowly, with lots of physical work to do and deafening people before the fumes kill them.
Keep it up Until the old hat fossil manufacturers go bust and can’t pay you.","
 @Ifyoudonttakeitucantfakeit
 ",2 years ago (edited),0.087,0.174,0.739
35,"Dear matt, Does it not seem odd for the car to have the wiper stalk on the right and bliker stalk on the left on RHD cars? Especially in such expensive ones? When they change the car to LHD to RHD, cant they redesign that? Instead of cost cutting?","
 @nabinsha7188
 ",1 month ago,0.104,0.028,0.868
36,"“It’s designed to combine a sports car and an SUV so you don’t have to get a divorce.”
-Mat Watson,2020","
 @rohanr6708
 ",2 years ago,0.0,0.0,1.0
37,Is it just me or is the new rear remodelling made you love porches 100x more,"
 @oliver-zd2ej
 ",2 years ago,0.219,0.0,0.781
38,"I love the Macan, my favourite SUV from this class ","
 @abayamangali
 ",1 year ago,0.344,0.0,0.656
39,"I recently got a Macan loaner from the dealership and got to drive it for 2.5 weeks. There are a few design flaws I found.
1. Seatbelt warning would not go away even when i buckled it up. It wasn't every time but I noticed it at least 7-10 times for the 2.5 weeks. I would say that's a lot. Maybe it is only to this specific vehicle. 
2. The footwell right to the accelerator is too close to the pedal. when I shift my right foot from brake to gas pedal, the front of my shoe always gets snagged by the foot well. On the same note, when I try to hit brake from gas pedal, my shoe also gets caught by the wall and I almost lost the timing to brake a couple of times. Very poor design. It may not be an issue if you use both feet to gas and brake but most don't. (I wrote this b4 watching his video but just finished watching his and he said something about it too. It's just that I didn't understand him cuz he mumbles under his breath when he talks about it. I get annoyed when he does that. It's hard for me to understand some of his brit accents :(). 
3. The brake has almost no play. Way too sensitive. Either you brake hard or you don't. I wonder if Cayenne of 2020 is also like that. My 911 and 2017 Cayenne aren't like that. 
Otherwise, you can expect same excellent drivability and handling from Porsche. I wasn't a big fan of gear ratio either but I didn't haul anything at that time so it may be ok with loading.","
 @rvfan96
 ",1 year ago (edited),0.067,0.069,0.863
40,Funny and informative as per usual. I was a bit nonplussed when you opened the central console and there was an SD card slot there. What on earth do you need an SD card for?!,"
 @Ezinma88
 ",1 year ago,0.091,0.0,0.909
41,i really like how this channel isn’t completely unbiased like a lot of other car review channels. good job Matt,"
 @alexharpoth6562
 ",2 years ago (edited),0.355,0.058,0.586
42,Brilliant job guys. Love how you have sectioned up the video! Great idea,"
 @lewisoliver7451
 ",2 years ago,0.553,0.0,0.447
43,Matt u really work hard nd gives the best videos which helps in getting full knowledge of car.,"
 @anantbansal4614
 ",2 years ago,0.303,0.075,0.623
44,The way the revs flied up when he hummed it was astonishing 14:59,"
 @SG-ek3pg
 ",2 years ago (edited),0.0,0.0,1.0
45,"Watching this video makes me love my Macan gts even more... Because it didn't come turbocharged and it's less expensive. So it gave me the chance to install significantly bigger turbos than the ones in the Macan turbo, I also did a great tune. I basically wasted almost the same amount of money as the macan turbo, a lot more HP(well over 600) and i also payed for it straight Cash, no financing, so my insurance won't own it. This crossover is ideal for when you are single and like to have fun with friends, for many obvious reasons.","
 @papijuancho2455
 ",2 years ago (edited),0.215,0.047,0.737
46,Mat you are the only car journalist except old topgear that I can watch. You are up there with the very best if not the best. Cheers from Sweden.🇸🇪🇬🇧,"
 @backstrom1747
 ",2 years ago,0.246,0.07,0.684
47,"Matt is such a legend presenter/reviewer ,","
 @andrewmccullough9334
 ",2 years ago,0.0,0.0,1.0
48,"Mental how quickly the channel is growing , anyone else came here from the start from carbuyer?","
 @Jahmed5635
 ",2 years ago,0.102,0.0,0.898
49,"You make this confusing time more entertaining, Thanks Matt!","
 @PurexBoss12
 ",2 years ago,0.451,0.144,0.406
50,The company I work in will produce the climate control module and I believe the console near the gear lever were produced by us as sample for this vehicle in the video(we do have the only in the world tools for producing them with us). It is amazing as it is challenging working in such high end industry.,"
 @kaloyanstefanov2388
 ",2 years ago,0.091,0.0,0.909
51,Gorgeous!! my favorite SUV on its category!!,"
 @marvinlopez5217
 ",2 years ago,0.62,0.0,0.38
