,Comment,id,date,Pos,Neg,Neu
18,"Nice, but a lot of money for a 4-cylinder drive train, I'd dumb down to a Stelvio Quadrifoglio and save money, haha.  Great review Team!","
 @McLeanGary
 ",5 months ago,0.429,0.118,0.452
19,"One of my favorite Italian cars!
Again, thx American brothers for reviewing Italian cars 🇮🇹🇺🇸","
 @lucasworktv5280
 ",2 months ago (edited),0.308,0.0,0.692
20,"Another great video - this Mas isn’t my favourite style-wise, and the price is pretty steep for what the base gets you!","
 @ADesignersLife
 ",5 months ago,0.285,0.0,0.715
21,I like the looks.  Maintenance and dependability aren't Maserati's strong points so I'd lease rather than buy.,"
 @davidp2888
 ",5 months ago,0.13,0.141,0.729
22,"Hey Joe not that bad I kinda like it myself. Definitely different in my opinion, but the outside looks like a cross between a Escape and a Jaguar E Pace. I don't see Maseratis that much so Ill say their pretty unique. Hey Joe, since you and Lori are in Vegas. Is there more action from the CES show? I heard RAM will unveil their EV pickup?","
 @chrisgelo1425
 ",5 months ago (edited),0.205,0.068,0.728
23,"Ron, do us all a favor.
Tell us if the Grecale is also fun to drive. I know it’s heavier, but I wonder if inherits the direct steering and ‘swiftness’ of the Stelvio.","
 @miks564
 ",4 months ago,0.125,0.0,0.875
24,"It’s pretty common looking, with that slight Maserati change up, but not enough to make me fall in love with it.","
 @P4SDetails
 ",5 months ago,0.294,0.0,0.706
25,"This is my next vehicle. Probably a Trofeo but definitely a Grecale. I have a Stelvio Quad, which is spectacular but the Maser has the luxury interior and tech that the Stelvio lacks.","
 @olivergrizzly6346
 ",5 months ago,0.113,0.0,0.887
26,"I had a 2018 Ghibli and didn’t have 1 problem.  Now 6 months in a 2022 Levante and not 1 problem so far. That said, I’d probably wait at least year before getting a Grecale given it’s Italian and a brand new model.","
 @jkandybar
 ",5 months ago,0.0,0.141,0.859
27,I'm not crazy about Maserati but this one isn't a bad looking car,"
 @bryanwashington9511
 ",5 months ago,0.346,0.0,0.654
28,"I'm not usually a fan of red leather interior, but for some reason it works in that vehicle.","
 @dangoleshootnetwork6036
 ",2 months ago,0.0,0.085,0.915
29,Underwhelmed by how it looks and what you get for that price,"
 @emilaubry6856
 ",5 months ago,0.0,0.0,1.0
30,"I feel like it’s in between the Stelvio 4cyl and the Stelvio V6 quadrifoglio. It’s hp and price is right in between the two.

I might upgrade my wife’s Stelvio to this… (after I get my Integra Type S )","
 @bbkangs
 ",5 months ago (edited),0.068,0.0,0.932
31,"Love the exterior, but hate the price!  At $92K there are so many other options for $10K to $20K less.  The top trim Genesis GV70 goes for $67K with a 375 hp turbo V6.  Save yourself $25K.  Even the comparable Germans are thousands less.","
 @geoffreysimpson3286
 ",5 months ago,0.169,0.095,0.736
32,"This is one of the fast growing car channels nowadays, Period.","
 @gr8vivin
 ",5 months ago,0.145,0.0,0.855
33,"This vehicle reminds me of the base Alfa Romeo Stelvio. Same power train setup 2.0 inline 4 cylinder turbo but a bit more hp in the Maserati. The interior has the same setup as the Stelvio but a lot more luxurious compared to the Alfa. In my humble opinion, spending over 90k on this Maserati. I will rather buy a Stelvio QV which will get me a beast for the money","
 @NITER1DER
 ",5 months ago,0.0,0.0,1.0
34,Holy cow! Almost 6 figures for a 4 cylinder?!?!,"
 @doggedlydetermined7022
 ",5 months ago,0.0,0.0,1.0
35,Wait a year or so and you can get one for 50% off  the depreciation is horrendous on that thing.,"
 @batreview9600
 ",5 months ago,0.0,0.174,0.826
36,Definitely want to hear your impression on the Trofeo version.,"
 @therealprofessorp6237
 ",5 months ago,0.457,0.0,0.543
37,"Very well detail review, great job Joe.","
 @simplecookingwithjobay4356
 ",5 months ago,0.565,0.0,0.435
38,"Too expensive, though. Great content as usual.","
 @BlackNess00
 ",5 months ago,0.406,0.0,0.594
39,Love the car but can't afford it on a fixed income! Great job as Always Joe but it needed LED Fog Lamps,"
 @svaden55
 ",5 months ago,0.31,0.0,0.69
40,The cool thing about this thing is that it’s essentially a Macan for people who make horrible life choices,"
 @bigdaddyswole
 ",4 months ago,0.106,0.161,0.734
41,"Beautiful review, beautiful car. Of course Italians do it better, even when having to use Stelantis bin parts.","
 @genobadea2738
 ",5 months ago,0.416,0.0,0.584
42,It looks like if Macan and Cayenne had a baby.,"
 @nishantbalami32
 ",5 months ago,0.238,0.0,0.762
43,I love it Joe and Lori and keep up the good work and I love the video ,"
 @dominickirkwood
 ",5 months ago,0.485,0.0,0.515
44,"JJ ~ ya know what would be super duper fun? get an Alfa Romeo Stelvio & this baby & race each other, in the school zone and/or the track. make it happen - you're the one with the all elite connections lol. love ya brother, tony","
 @TEWSTAR
 ",5 months ago,0.314,0.0,0.686
45,"Nice review Joe, you’re the hardest working guy in the business.","
 @alanincentraljersey
 ",5 months ago,0.219,0.0,0.781
46,"It’s a better trimmed, more expensive and elongated Stelvio. Even the rear arm rest is same. Nothing wrong with that mind","
 @Max-ik6ub
 ",5 months ago,0.233,0.0,0.767
47,I have the X3BMW & I don’t like how the touch pad sits so low… because You have to keep looking down to manage it which most ppl do while I’m route not safe for driving. Do like the inside tho,"
 @China5Starr
 ",2 months ago,0.118,0.057,0.825
48,you would always make me laugh when you reviewed the Dodge Challengers and charger and would tell people to take the bumper guards off,"
 @xavierburton7407
 ",5 months ago,0.185,0.0,0.815
49,I'm wondering do the Maserati family have regrets selling their car company because of the amazing history ,"
 @teamextras4life270
 ",5 months ago,0.178,0.117,0.704
50,It's desperately missing the flat black trim around the wheel wheels. That would put this vehicle over the top.,"
 @rafaelmartell6918
 ",1 month ago,0.08,0.212,0.708
51,It is a unique looking car … 4 cylinder turbo doesn’t cut it..zonk…great review Joe,"
 @BobAyers
 ",5 months ago,0.0,0.16,0.84
52,This is nice except the price and reliability I can probably get a Macan or x3 cheaper,"
 @lionelholmesjr617
 ",5 months ago,0.167,0.0,0.833
53,Looks really nice!! Saw a vid of this SUV where another channel did the review couple weeks ago I he went to the autobahn Man!!  He push it to 294 KM i think is about 178 mph!! I guess!!,"
 @Angelbonilla1982
 ",5 months ago,0.111,0.0,0.889
54,Thank you!! I’ve been waiting for this one! I love it ,"
 @AllanteA4
 ",5 months ago,0.486,0.0,0.514
55,"Raiti's enters a car dealership:
Dealer: Hi sir! what are you looking for today?
Raiti: I need a car shaped like a pasta with red tomato sauce brakes and pizza size rotors, should have multiple race Twinkie pockets, should have double loaded chipotle burrito holders, with a side of guacamole chillers (so it doesn't get spoiled while doing a lap)","
 @TheGTIguy
 ",5 months ago,0.05,0.0,0.95
56,"Great review. But for the price, you might as well get a Lavante.","
 @westonmanagement7175
 ",5 months ago,0.342,0.0,0.658
57,When done right red interior looks so  good especially when the exterior is white.,"
 @EJChevy
 ",5 months ago,0.223,0.0,0.777
58,"I deposited on a Maserati a few years ago then I started hearing about the reliability issues …I canceled and bought an M3 ….now the M3 is trying to kill me ..
Nice suv though…","
 @buildindian8169
 ",5 months ago,0.077,0.129,0.795
59,"Good car for the msrp, great car after 3 years with 20,000 miles for half the price","
 @mordredm980
 ",5 months ago,0.333,0.0,0.667
60,Grecale makes the Macan look like a homely little turtle.,"
 @modmondays
 ",4 months ago,0.238,0.0,0.762
61,@raitisrides earlier in the video you compared this to the Stelvio but price wise that seems much less expensive.,"
 @bryantcurtis2573
 ",5 months ago,0.187,0.0,0.813
62,92k? not sure i’d pay 62k for that. especially with the way Maseratis depreciate. I learned that with my Granturismo,"
 @jr7026
 ",5 months ago,0.064,0.097,0.839
63,Maseratis are very popular in North Houston and this will be another one on throttle on  I-45,"
 @wilfredochupacabraaguirre8274
 ",5 months ago,0.162,0.0,0.838
64,"I like it, it's too deep for my pockets, but if I owned beach front property, my third mistress would totally love this","
 @JustaPersonTryinToHuman365
 ",5 months ago,0.296,0.0,0.704
65,Same price range as the Jaguar F pace. I’ll go with the supercharged F pace,"
 @chriszenko3598
 ",5 months ago,0.0,0.0,1.0
66,Need to purchase two of them so you have one you can drive while the other one is in the shop.,"
 @DonnyBoy4316
 ",5 months ago,0.0,0.0,1.0
67,"Italians, I got lost at Bologna and Folio. We talking, food, phones, cars? Haha Great video as always!","
 @ethenjordan2010
 ",5 months ago,0.312,0.097,0.591
68,Lovely car ,"
 @isaac.genesis
 ",5 months ago,0.792,0.0,0.208
69,Pasta rocket!!! Hahaha I’m dead Joe. You think some of these styling cues go on the Levante?,"
 @Trevorl-fo7vr
 ",5 months ago,0.151,0.218,0.631
70,19:06 that passenger seat is moved and leaned all the way forward to make it look like you have solid leg room - if you had that seat in a real position you'd be getting smashed ,"
 @rkalla
 ",5 months ago (edited),0.114,0.0,0.886
71,92k for 4 cylinders. That’s a hard pass.,"
 @markchopping
 ",5 months ago,0.0,0.219,0.781
72,I don’t understand how the Grecale and the Levante are in the same price range. The price is too high and these will have 5-digit discounts at the end of each year just like the other Maserati products.,"
 @Daytona675GTIron
 ",5 months ago,0.065,0.0,0.935
73,Its hard not to call it Metharati Grecale...thanks Tyler Hoover!,"
 @trdrav4
 ",5 months ago,0.0,0.158,0.842
74,"It’s a cool car. Don’t love the engine. It would be cool with a Ferrari v8 with 2 cylinders cut off.

Edit: great review as always. Love your videos.","
 @tytheman8609
 ",5 months ago (edited),0.436,0.054,0.51
75,92k for this... .. For the same 2.0 turbo in the stelvio that's a major ZONK!,"
 @tonymanno2132
 ",5 months ago,0.0,0.0,1.0
