,Comment,id,date,Pos,Neg,Neu
26,"Hopefully you guys get to review the 2022 GTS since it is now more rigid, better suspension, and received the Turbo's engine. I have one on order with a March delivery, but really hoping you guys get your hands on one. Great videos, as always.","
 @gregwolfe540
 ",1 year ago,0.258,0.026,0.715
27,"If the base Macan can be ordered with relatively light options, it can be a pretty good value compared to the competition which are far less sporty. ","
 @migy5031
 ",1 year ago,0.27,0.0,0.73
28,"My mom has a base model with extras on it but it is an absolutely AWESOME car! Amazing interior, comfortable in the back spacious.","
 @Ray.cheld1321
 ",11 months ago,0.467,0.0,0.533
29,"I've watched this video over 10 times now now for peace of mind. Great review and can't wait for my 2022 base to come in next month. Sucks the S model is impossible to get which was my first preference. Switching over from an X3, so excited to enter the gateway of the porsche brand.","
 @1llamental
 ",1 year ago,0.17,0.04,0.791
30,"These have always felt quite small in the back but then again I am 6'3"". I can't justify one of these even used when compared to a q5 for x3 because it's so small. If I had a ton of spare throw away cash as the average porsche owner does, I might consider it.","
 @cowsgonemadd3
 ",1 year ago,0.0,0.0,1.0
31,Great idea to test the bases model especially the engine really helps since most buyer go with the base engine,"
 @anthonyflexas
 ",1 year ago,0.28,0.0,0.72
32,"OMG finally!!! That was the one element severely lacking from all of your prior reviews…. When everything was said and done I had no clue how large the interior space was or how much luggage space was on offer. It helps tremendously when stating how tall you are as well, so please keep it up, it’s definitely appreciated!","
 @Douglas3.2Carrera
 ",1 year ago,0.212,0.074,0.714
33,Having had a 2021 as a loaner I totally agree that it's better than most cars period,"
 @joe718gt4
 ",1 year ago,0.322,0.0,0.678
34,"Tried one before, but the base seemed pretty cheap with the amount of plastic in the interior for the base model. Not sure about the S or GTS. The X3 seemed to feel more plush interior-wise. Exterior, the Macan is nice.","
 @TaylorSwiftsScarf
 ",1 year ago,0.169,0.051,0.78
35,"Why wouldn't they include buttons for the back seats? That seems like a must-have, especially for something as high as this. Regardless, I like this a lot. Nice job guys!","
 @uitrev
 ",1 year ago (edited),0.252,0.0,0.748
36,Another great one from TSP.   Love the Macan!  The little clock above the center stack is a must have for blasting down the 401 during rush hour.  That is how you know you have arrived.,"
 @hereigoagain5050
 ",1 year ago,0.212,0.0,0.788
37,Love your reviews and your launches.   Ordered a volcano grey 22 Macan GTS Loaded out.  Will be my jacked up version of a 911….lol.  Can’t wait to get it in the spring.  Truly a great engineered suv and really enjoyed that you can customize your build with Porsche.  Keep ‘em coming.,"
 @dean3969
 ",1 year ago,0.271,0.0,0.729
38,"When we went to buy our Macan (in 2019), we had base model in mind. As we were adding options, price quickly rose up (because Porsche). So the porsche guy goes like: ""look, it is getting into high Macan S numbers, we do not have macan S currently, but we have Macan GTS in shop. Wouldn't you want to try it?"". 25 minutes later, we were ordering Macan GTS :D. You dont have to sell porsches, these cars sell themselves :D :D :D. (Also, incredible car. I am in love.)","
 @ponkacik8641
 ",1 year ago,0.132,0.014,0.854
39,"i built an S in the US. came exactly to what i spec’d out. i ordered it in August and it arrived in december- which was earlier than the expected date they gave me of April. 

i love the S- it’s the goldilocks version of the 3 trims. it gets you the engine of last years GTS, with the cleaned up interior of 2022. my only gripe is no full screen carplay. that stinks","
 @dcbnyc
 ",1 year ago,0.057,0.057,0.886
40,Tip: Porsche dealers usually have several decently optioned base Macans that they use as service loaners and then sell (often with their CPO warranty) after a year or 2.  Usually not a bad deal if you want a base model at a discounted price.,"
 @KansaSCaymanS
 ",1 year ago,0.126,0.0,0.874
41,"Always go for the S – the 4 cylinder is ok, but ist feels it struggles with the car and has to rev high to move. Fuel economy is almost same between base and S. The V6 feels so much better.","
 @thatjeepdude
 ",1 year ago,0.133,0.074,0.793
42,They really needed to update this. I've driven the former Macan on multiple occasions as a service loaner and it felt like it was half the price new. That 4 cylinder whine tho.,"
 @itsconnorjon
 ",1 year ago,0.074,0.074,0.853
43,You should drive more base models since so many people drive these.  I ordered a Macan T which is essentially abase  and it is awesome.,"
 @kellanhills1972
 ",6 months ago,0.163,0.0,0.837
44,Got a new 2021 Macan S in stock last year with very very limited options. Those speced cars still exist and I’m fine with it,"
 @jasonfan9563
 ",1 year ago (edited),0.071,0.098,0.831
45,"Nothing new, the Macan was always the benchmark in this segment already in 2014.

Build-quality, performance, handling and driving experience still to the edge.

The only drawback are maintenance cost, which depending on the market can be very high in comparison to its sister: Audi Q5.

Yes, many do not know, the Macan is classified a Q5 model variation (German Law).","
 @andreatanzi3191
 ",1 year ago (edited),0.044,0.0,0.956
