,Comment,id,date,Pos,Neg,Neu
50,"Upgrade the interior to match the Cayenne and Panamera, please & thanks.","
 @whoisvjm
 ",3 years ago,0.366,0.0,0.634
51,,"
 @highfive55
 ",3 years ago,0.0,0.0,0.0
52,Is this the 2020 or a 2021 model?,"
 @mxtv1258
 ",3 years ago,0.0,0.0,1.0
53,"Certo è fantastica, ma solo x i  ricchi _ ma naturalmente non pensate alla gente normale 
Quindi VERGOGNATEVI","
 @carlomoro8226
 ",2 years ago,0.0,0.0,1.0
54,Hp?,"
 @deinpapii
 ",3 years ago,0.0,0.0,1.0
55,"Having an ugly wife and unwanted children ? Bad luck ! Get yourself a Macan or just a Porsche and drive fast away from them, free yourself ! Good luck !","
 @waedi73
 ",3 years ago,0.329,0.219,0.453
56,Pointless video... communicates nothing other than the GTS is now available...,"
 @jonchicoine
 ",3 years ago,0.0,0.0,1.0
57,شني هاي,"
 @ahmedalbeaty7195
 ",3 years ago,0.0,0.0,1.0
58,Werder Bremen,"
 @larawinkelmann3013
 ",2 years ago,0.0,0.0,1.0
59,Too slow,"
 @BobbyDazzler888
 ",3 years ago,0.0,0.0,1.0
60,The gas consumption is just ridiculous with this car. That's why I drive a Tesla.,"
 @circlecrystal
 ",3 years ago,0.0,0.172,0.828
