Name,Comment,Date
BigR,"Quite a Maserati fan (on my 5th, and second Levante). I saw these in the flesh at FoS and have to say that the front is really quite plain and sadly Ford Puma-like. The rest actually looks perfectly decent in the flesh, but that lets it down and isn't enough in tune with 'Maserati' or their sense of slightly different / daring / style.Then, the price of these is pretty rich. The Levante Trofeo is not very much more at all (perhaps £110k in reality), and you get more car for it. If it had a better looking front end and perhaps more of an £80k price tag, it'd stand more of a chance and be a more compact viable alternative to the Levante (which is bloody big).That said, we're all looking at it from our (largely) UK perspective. No idea what their sales spread is across the rest of Europe / world to know whether this will land better elsewhere.As to the comment around digging around for the dealers, this is a bit of a problem too. Maranello is the nearest for me and utterly the most incapable / duplicitous / outright lying dealer (sales and service) of any brand I've had the pleasure of dealing with. Fortunately I live tolerably close enough to another, however, it is a bit of an issue. Equally, it's not a mass-market car, but hell I hope it sells well enough to keep some of the traction going, supporting the ability to build the more exciting stuff such as the MC20 and GranTurismo (in much the same way that Lamborghini or whoever else gets often slated for building SUV's, but they sustain the other products and ensure a viable future for the business). ","May 10, 2023"
Wills2,"I like it and would probably go for it against the others, something a bit different and it won't be a bad car at all, I had an X3M and for me they're not the sort of cars you drive anywhere near the limit other than having a blast in a straight line, I'm sure the Trofeo will be a lovely thing to drive. ","May 10, 2023"
GreatScott2016,"No doubt lots of these SUV things are pleasant behind the wheel, but my god, why oh why are they all so dull on the outside? ","May 10, 2023"
tubs,Nope. ,"May 11, 2023"
lordturpin,"Aside from it being a crap comparison, you'd be lucky to get even a 3year old DBX for £100kBoth are 500 BHP+ Lux SUV's and one assumes its @ £110k when its fully specced as wanted, so not far off a 2/3 year old DBX, i know what i would rather.Horses for courses","May 11, 2023"
BigR,"Both are 500 BHP+ Lux SUV's and one assumes its @ £110k when its fully specced as wanted, so not far off a 2/3 year old DBX, i know what i would rather.Horses for courses...https://www.autotrader.co.uk/car-details/202304066...Edited by lordturpin on Thursday 11th May 07:57Something something...cheap interior...isn't that the standard response on here to any mention of Aston Martin? (Something which I only think has a little credence tbf)","May 11, 2023"
agl89,"You can have a sensible spec Macan GTS for mid 70s with better residuals. For me, the conversation on this car sort of ends there. ","May 11, 2023"
Julian Scott,Crap comparison because you're comparing the RRP of a new car with a 3 year old car.And then proving your argument is even worse when the 2yr old DBX for £100k is actually closer to 3yrs old and closer to £120k. ,"May 11, 2023"
Julian Scott,"You can have a sensible spec Macan GTS for mid 70s with better residuals. For me, the conversation on this car sort of ends there.I think it ended with the mention of the Stelvio & SVR.The Macan will be minimal spec for £mid-70s (non-monotone colour & leather seats will take it to £75k). When I was getting my SVR, I specced one up to the same level for interest, it was only £500 off the RRP of my SVR, and Porsche were offering no discounts at all.And of course the Macan was 2 cylinders and 100bhp down ;-) agl89 said: ","May 11, 2023"
Julian Scott,"Both are 500 BHP+ Lux SUV's and one assumes its @ £110k when its fully specced as wanted, so not far off a 2/3 year old DBX, i know what i would rather.Horses for courses...https://www.autotrader.co.uk/car-details/202304066...Edited by lordturpin on Thursday 11th May 07:57Something something...cheap interior...isn't that the standard response on here to any mention of Aston Martin? (Something which I only think has a little credence tbf)The interior of the DBX is lovely and the quality is very good IME, but it is already starting to look a little dated. BigR said: lordturpin said: Edited by lordturpin on Thursday 11th May 07:57 ","May 11, 2023"
BRR,"The whole USP of a Maserati was that it felt special and exotic compared to it's similarly priced competitors, this doesn't in any way look special so I can see very little reason why you'd choose this over any of the rivals mentioned. If they could combine the improved engineering of this with the specialness of their 2000's cars (Gransport, Granturismo, Quattroporte) they'd be onto a winner ","May 11, 2023"
bergxu,"Well, coming from someone who works on them, all it is is a fluffed and buffed mild hybrid Stelvio with a higher price tag. So they basically took a st car and made it worse. ","May 11, 2023"
JuiceTerry,What a boring looking thing ,"May 11, 2023"
nismo48,"FamousPheasant said:moggy1000 said:Oliie said:Looks too much like a PumaWith the rear end of a Fiat Tipo..Not an ugly car, just very plain and no different to cars have or a third of its priceLooked at the photos and was about to post exactly the same. Beaten to it.Me too... maybe a coincidence FamousPheasant said: moggy1000 said: Oliie said: ","May 17, 2023"
Julian Scott,What a boring looking thingWhat an interesting post.  ,"May 17, 2023"
Pommy,"What an interesting post.Is your job in this thread to simply get annoyed with people, or disagree with what they say?He's not wrong. Julian Scott said: JuiceTerry said: ","May 18, 2023"
romac,"Article said:...there's perhaps never been a time to launch a compact, premium SUVI quite agree, but lots of sales of these indicates that others think differently!","February 15, 2022"
0a,The Grayscale.,"February 15, 2022"
Global Nomad,is this a similar size to the Alfa Tonale or closer to a Stelvio?,"February 15, 2022"
unpc,Probably will be as popular as their last SUV offering...,"February 15, 2022"
808 Estate,Will be known as the Grockle.,"February 15, 2022"
Manic Street Sleeper,"Probably will be as popular as their last SUV offering...It should sell reasonably (for Maserati) well then.Rumour has it that the Grecale Trofeo will have a retuned ""Nettuno"" engine under the bonnet.","February 15, 2022"
Rumblestripe,Boggo compact SUV with a Maser grill.,"February 15, 2022"
Pereldh,Based on the Stelvio we suppose..?,"February 15, 2022"
BAZ_C,Based on the Stelvio we suppose..?Prototype review in Car Magazine says based on Stelvio platform but with Maserati engines. Think I'd rather have the Alfa.,"February 15, 2022"
ITP,"That’s a bit tricky as the top stelvio has a Ferrari engine, basically…..","February 15, 2022"
hyphen,"Manic Street Sleeper said:Rumour has it that the Grecale Trofeo will have a retuned ""Nettuno"" engine under the bonnet.Think that was on the menu at the Italian place I ate at last week.","February 15, 2022"
pb8g09,Affordable my ass,"February 15, 2022"
Panamax,Rumblestripe said:Boggo compact SUV with a Maser grill.That's the one.,"February 15, 2022"
redrabbit,"""Nobody will confuse the Grecale for anything but a Maserati, at least.""I must be going blind then, because I have confused it with just another lardy motorised handbag. That thing is not a Maserati.","February 15, 2022"
w0o0dy,Isn't this just a Stelvio with some Maseratiness on top?,"February 15, 2022"
MayNine,"It looks like a pumped up Lancia Ypsilon from a few years ago. Does it look really under-wheeled too, or is that just me?","February 15, 2022"
FlukePlay,"w0o0dy said:Isn't this just a Stelvio with some Maseratiness on top?Yep, same pizza base, just different toppings.","February 15, 2022"
Manic Street Sleeper,"FlukePlay said:w0o0dy said:Isn't this just a Stelvio with some Maseratiness on top?Yep, same pizza base, just different toppings.good Italianalogy there ...","February 15, 2022"
smilo996,"Is there much to say. It's yet another muppet wagon for those with massive but terribly fragile egos.Presumably like the offerings from VW, this ""platform"" will spawn a multitude of others SUV's or it this the spawn of the Stelvio?and give birth to the new Ferrari Testosterone SUV?Why ask, not even interesting.","February 15, 2022"
hyphen,"Manic Street Sleeper said:FlukePlay said:w0o0dy said:Isn't this just a Stelvio with some Maseratiness on top?Yep, same pizza base, just different toppings.good Italianalogy there ...","February 15, 2022"
anonymous-user,"smilo996 said:Is there much to say. It's yet another muppet wagon for those with massive but terribly fragile egos.Presumably like the offerings from VW, this ""platform"" will spawn a multitude of others SUV's or it this the spawn of the Stelvio?and give birth to the new Ferrari Testosterone SUV?Why ask, not even interesting.The Giorgio platform is already used for the Stelvio, Giulia and Grand Cherokee. Ferrari has nothing to do with Alfa or Maserati anymore, FCA (now Stellantis) sold them off in 2016","February 15, 2022"
Hairymonster,808 Estate said:Will be known as the Grockle.Should work well with the Alfa Toenail!,"February 15, 2022"
unpc,"Honestly, I don't see the point of Maserati these days. They made some truly beautiful and iconic cars but since the 80s it's been downhill all the way. I'd love to see a renaissance but me too SUVs isn't going to get them there. They were always a poor man's Ferrari and a cut above Alfa but they don't seem to stand for anything much these days, or is it just me?","February 15, 2022"
DeltaEvo2,Better than a VW...,"February 15, 2022"
Mapt,"Amazing the amount of negativity in these comments by people who don’t even know this is a Stelvio-based product, which has not been a secret at all. If you know literally nothing about the vehicle, how can you hate it? This is a vehicle designed to sell in numbers to keep Maserati alive. 20 years has passed since Porsche launched the Cayenne and it seems people still can’t accept an SUV built by a sports car manufacturer…","February 15, 2022"
unpc,"Mapt said:Amazing the amount of negativity in these comments by people who don’t even know this is a Stelvio-based product, which has not been a secret at all. If you know literally nothing about the vehicle, how can you hate it? This is a vehicle designed to sell in numbers to keep Maserati alive. 20 years has passed since Porsche launched the Cayenne and it seems people still can’t accept an SUV built by a sports car manufacturer…So it's a Stelvio based product and that makes it all right in the world. Okaaay.I don't hate SUvs my Mrs has one and own the original luxury SUV but there's nothing Maserati about this. Porsche jumped on that bandwagon nearly 20 years ago. That bandwagon has already left.","February 15, 2022"
WelshPetrolhead,"Ok at the back. Anonymous/bland down the sides. Ford Puma at the front.At least its not called Toenail, I guess.","February 15, 2022"
Nicolas Lazar,Small Maserati SUV. What the world needs. NOT.,"February 15, 2022"
dunnoreally,"This wants to duke it out withe Macan, I guess? It feels a bit like desparate downmarket drift from a brand whose paymasters don't really know what to do with it. I still can't help but root for them, though. I hope it's good enough to pull a few people out of their next GLwhatever AMGs.","February 15, 2022"
Manic Street Sleeper,"Can't wait for the Ferrari and Lotus SUVs to appear, the PH massive will have a massive heart attack.","February 15, 2022"
