,Comment,id,date,Pos,Neg,Neu
30,"I think that the GTS cars always represent not only a great value for money over the S models and a half way house between the S and the Turbo but they look lovely and the interiors are nice. To be fair that’s why I have a GTS, not a Macan, mind you.","
 @ACKWV
 ",10 months ago,0.213,0.066,0.721
31,"The Macan GTS is what you upgrade to from a Golf R after a big salary raise, it's so low and has the dimensions of a bulky hot hatch that it's essentially just that. $100K USD is the price for a well-optioned one this side of the pond and frankly there are other things I'd get. But used? A 3 year old well-optioned one for ~$75K USD is a lot more appealing. Can't wait to see what the electric variant can do soon!","
 @BINGFRYSRDUN
 ",11 months ago,0.0,0.028,0.972
32,"Well, I like that Alex and Rory are both staying! It's refreshing to have different points of view :) I just have one petition, can Rory be the one that reviews the Toyota GR 86?  (Because that would be my favorite presenter with my favorite car! )","
 @Bmontepeque11
 ",11 months ago (edited),0.259,0.047,0.694
33,I like Alex as a new presenter.  Looking forward to seeing more reviews from her.,"
 @Jc_true
 ",11 months ago,0.172,0.0,0.828
34,I’m loving this episode love to see YouTubers  collaborations I think it exposed the channel to others ,"
 @Skiridr22
 ",11 months ago,0.362,0.058,0.58
35,"I liked Rory's pop-out from behind the car with all the negativity 
The debated discussion adds some perspective to the script and I think could be more deeply dug into.","
 @catalicos
 ",11 months ago,0.087,0.103,0.81
36,She’s freaking awesome…you guys are awesome together. Loved the energy!!!,"
 @ganjacats
 ",11 months ago,0.555,0.142,0.303
37,"I could deal with this as my daily driver. Except for the problem of stopping for gas every other day, it would be excellent.","
 @Flipstick96
 ",11 months ago,0.132,0.154,0.714
38,What a great way to introduce a new presenter! Really enjoyed the chemistry!,"
 @birdboxx9075
 ",11 months ago,0.479,0.0,0.521
39,"She still has to find her own voice, and of course Rory clearly has found his ages ago. Besides he is the best reviewer at the moment, wouldnt trade him in for her, like so many I dial in for RR. But I do hope she will find her voice because that will make it so much more fun and valuable for all of us. As long as it isn't meant as a run up to RR leaving. Just to be sure I liked his comment to get it closer to the 1000 upvotes!","
 @jwvandegronden
 ",11 months ago,0.246,0.0,0.754
40,"For a ""first"" appearance? You nailed it! Love the enthusiasm!","
 @G-Loco
 ",11 months ago,0.523,0.0,0.477
41,Can we get to see Rory review some more bikes in the future? There have been a lot of cool new bikes on the market recently.,"
 @devathmanm514
 ",11 months ago (edited),0.087,0.0,0.913
42,Alexandra did a great job. Her and Rory will make a great team!,"
 @LemuelTaylor
 ",11 months ago,0.485,0.0,0.515
